app_id,name,release_year,release_date,review_score_desc,positive,total_reviews,positive_pct,steamspy_owners,price_overview,steam_url,header_img
2215910,Metaball,2024,2024-03-07,Mixed,168,252,66.7,0,\N,https://store.steampowered.com/app/2215910/,https://cdn.akamai.steamstatic.com/steam/apps/2215910/header.jpg
2305810,Low Oxygen,2023,2023-03-16,Very Positive,221,249,88.8,0,\N,https://store.steampowered.com/app/2305810/,https://cdn.akamai.steamstatic.com/steam/apps/2305810/header.jpg
1588400,Spacelines from the Far Out: Flight School,2022,2022-02-07,Very Positive,206,246,83.7,0,\N,https://store.steampowered.com/app/1588400/,https://cdn.akamai.steamstatic.com/steam/apps/1588400/header.jpg
922450,4X-Galaxy 无主之地：银河,2018,2018-12-20,Mixed,124,245,50.6,0,\N,https://store.steampowered.com/app/922450/,https://cdn.akamai.steamstatic.com/steam/apps/922450/header.jpg
656140,PLANETS OF WAR,2017,2017-06-30,Mixed,138,245,56.3,0,\N,https://store.steampowered.com/app/656140/,https://cdn.akamai.steamstatic.com/steam/apps/656140/header.jpg
3111800,Face The Abyss,2024,2024-09-20,Mixed,96,240,40.0,0,\N,https://store.steampowered.com/app/3111800/,https://cdn.akamai.steamstatic.com/steam/apps/3111800/header.jpg
720300,Toran,2019,2019-04-18,Very Positive,224,238,94.1,0,\N,https://store.steampowered.com/app/720300/,https://cdn.akamai.steamstatic.com/steam/apps/720300/header.jpg
259430,Zigfrak,2013,2013-12-13,Mostly Positive,172,237,72.6,0,\N,https://store.steampowered.com/app/259430/,https://cdn.akamai.steamstatic.com/steam/apps/259430/header.jpg
2095250,LASER LAB,2022,2022-09-08,Very Positive,221,237,93.2,0,\N,https://store.steampowered.com/app/2095250/,https://cdn.akamai.steamstatic.com/steam/apps/2095250/header.jpg
574070,Space Wars: Interstellar Empires,2017,2017-12-08,Mixed,157,236,66.5,0,\N,https://store.steampowered.com/app/574070/,https://cdn.akamai.steamstatic.com/steam/apps/574070/header.jpg
437610,SQUIDS FROM SPACE,2017,2017-06-16,Very Positive,205,233,88.0,0,\N,https://store.steampowered.com/app/437610/,https://cdn.akamai.steamstatic.com/steam/apps/437610/header.jpg
1976230,Outnumbered,2022,2022-09-09,Very Positive,186,230,80.9,0,\N,https://store.steampowered.com/app/1976230/,https://cdn.akamai.steamstatic.com/steam/apps/1976230/header.jpg
934850,Cyberdrome,2019,2019-01-01,Very Positive,202,230,87.8,0,\N,https://store.steampowered.com/app/934850/,https://cdn.akamai.steamstatic.com/steam/apps/934850/header.jpg
1676880,契灵之约,2021,2021-08-11,Very Positive,202,229,88.2,0,\N,https://store.steampowered.com/app/1676880/,https://cdn.akamai.steamstatic.com/steam/apps/1676880/header.jpg
1455920,EQI,2021,2021-01-15,Very Positive,195,223,87.4,0,\N,https://store.steampowered.com/app/1455920/,https://cdn.akamai.steamstatic.com/steam/apps/1455920/header.jpg
2138290,FRAIM - Survival Rhythm Aim Trainer,2022,2022-11-01,Mixed,130,223,58.3,0,\N,https://store.steampowered.com/app/2138290/,https://cdn.akamai.steamstatic.com/steam/apps/2138290/header.jpg
1126420,REMOTE LIFE,2019,2019-10-04,Very Positive,200,221,90.5,0,\N,https://store.steampowered.com/app/1126420/,https://cdn.akamai.steamstatic.com/steam/apps/1126420/header.jpg
1005240,Pixel Puzzles Illustrations & Anime,2021,2021-02-23,Mostly Positive,165,219,75.3,0,\N,https://store.steampowered.com/app/1005240/,https://cdn.akamai.steamstatic.com/steam/apps/1005240/header.jpg
1962770,Nova Empire,2022,2022-05-26,Mixed,115,218,52.8,0,\N,https://store.steampowered.com/app/1962770/,https://cdn.akamai.steamstatic.com/steam/apps/1962770/header.jpg
349520,Armillo,2020,2020-07-03,Very Positive,192,216,88.9,0,\N,https://store.steampowered.com/app/349520/,https://cdn.akamai.steamstatic.com/steam/apps/349520/header.jpg
2404400,SEARCH ALL - UFO,2023,2023-09-27,Very Positive,189,215,87.9,0,\N,https://store.steampowered.com/app/2404400/,https://cdn.akamai.steamstatic.com/steam/apps/2404400/header.jpg
2613610,Drift.Wav,2023,2023-10-27,Very Positive,201,214,93.9,0,\N,https://store.steampowered.com/app/2613610/,https://cdn.akamai.steamstatic.com/steam/apps/2613610/header.jpg
2010450,Endlanders : First Encounter,2022,2022-06-04,Very Positive,173,214,80.8,0,\N,https://store.steampowered.com/app/2010450/,https://cdn.akamai.steamstatic.com/steam/apps/2010450/header.jpg
273240,Gunhound EX,2014,2014-05-01,Mixed,148,214,69.2,0,\N,https://store.steampowered.com/app/273240/,https://cdn.akamai.steamstatic.com/steam/apps/273240/header.jpg
923370,Cat Warfare,2020,2020-02-26,Very Positive,201,214,93.9,0,\N,https://store.steampowered.com/app/923370/,https://cdn.akamai.steamstatic.com/steam/apps/923370/header.jpg
1786760,荣耀斗罗,2021,2021-11-18,Very Positive,197,211,93.4,0,\N,https://store.steampowered.com/app/1786760/,https://cdn.akamai.steamstatic.com/steam/apps/1786760/header.jpg
2761970,The Portal Trial,2024,2024-01-19,Very Positive,170,208,81.7,0,\N,https://store.steampowered.com/app/2761970/,https://cdn.akamai.steamstatic.com/steam/apps/2761970/header.jpg
1062070,Tex-Mechs,2020,2020-02-21,Very Positive,190,208,91.3,0,\N,https://store.steampowered.com/app/1062070/,https://cdn.akamai.steamstatic.com/steam/apps/1062070/header.jpg
1451870,Sunset Drive 1986,2021,2021-01-20,Very Positive,180,207,87.0,0,\N,https://store.steampowered.com/app/1451870/,https://cdn.akamai.steamstatic.com/steam/apps/1451870/header.jpg
489000,The Infinite Black,2016,2016-10-19,Mixed,138,207,66.7,0,\N,https://store.steampowered.com/app/489000/,https://cdn.akamai.steamstatic.com/steam/apps/489000/header.jpg
1895780,Sexy Space Airlines,2022,2022-03-23,Mixed,107,206,51.9,0,\N,https://store.steampowered.com/app/1895780/,https://cdn.akamai.steamstatic.com/steam/apps/1895780/header.jpg
1780690,The Tale of Fighting Nymphs,2021,2021-10-20,Very Positive,182,203,89.7,0,\N,https://store.steampowered.com/app/1780690/,https://cdn.akamai.steamstatic.com/steam/apps/1780690/header.jpg
1075430,Cowpocalypse - Episode 0,2019,2019-05-29,Very Positive,175,203,86.2,0,\N,https://store.steampowered.com/app/1075430/,https://cdn.akamai.steamstatic.com/steam/apps/1075430/header.jpg
2920690,SOF: Enemy from the future,2024,2024-08-19,Very Positive,178,202,88.1,0,\N,https://store.steampowered.com/app/2920690/,https://cdn.akamai.steamstatic.com/steam/apps/2920690/header.jpg
385530,Astro Lords,2015,2015-09-29,Mixed,135,201,67.2,0,\N,https://store.steampowered.com/app/385530/,https://cdn.akamai.steamstatic.com/steam/apps/385530/header.jpg
