tconst,title,year,runtime_min,genres,imdb_rating,num_votes,imdb_url
tt13317454,Yakamoz S-245,2022,45,"Drama,Sci-Fi,Thriller",6.2,9676,https://www.imdb.com/title/tt13317454/
tt9337588,Leila,2019,48,"Drama,Sci-Fi",5.1,9561,https://www.imdb.com/title/tt9337588/
tt27111295,Citadel: Honey Bunny,2024,60,"Action,Drama,Sci-Fi",6.2,9391,https://www.imdb.com/title/tt27111295/
tt17371078,The Ark,2023,50,"Drama,Mystery,Sci-Fi",5.8,9386,https://www.imdb.com/title/tt17371078/
tt13457822,Welcome to Eden,2022,40,"Action,Drama,Sci-Fi",5.7,9297,https://www.imdb.com/title/tt13457822/
tt1258189,Survivors,2008,60,"Drama,Sci-Fi",7.5,9195,https://www.imdb.com/title/tt1258189/
tt1137462,Kings,2009,60,"Drama,Sci-Fi",8.1,9018,https://www.imdb.com/title/tt1137462/
tt25375256,The Signal,2024,62,"Drama,Mystery,Sci-Fi",6.0,8936,https://www.imdb.com/title/tt25375256/
tt0880557,Bionic Woman,2007,43,"Action,Sci-Fi,Thriller",5.8,8910,https://www.imdb.com/title/tt0880557/
tt13821126,Extrapolations,2023,51,"Drama,Mystery,Sci-Fi",6.2,8849,https://www.imdb.com/title/tt13821126/
tt0801425,Day Break,2006,60,"Action,Drama,Sci-Fi",8.0,8788,https://www.imdb.com/title/tt0801425/
tt0278877,Sealab 2021,2000,11,"Animation,Comedy,Sci-Fi",7.8,8741,https://www.imdb.com/title/tt0278877/
tt4695530,People of Earth,2016,30,"Comedy,Mystery,Sci-Fi",7.7,8638,https://www.imdb.com/title/tt4695530/
tt11988676,Hot Skull,2022,60,"Drama,Sci-Fi",7.1,8602,https://www.imdb.com/title/tt11988676/
tt0320038,John Doe,2002,60,"Drama,Mystery,Sci-Fi",7.8,8566,https://www.imdb.com/title/tt0320038/
tt7412482,The First,2018,45,"Drama,Sci-Fi",6.6,8561,https://www.imdb.com/title/tt7412482/
tt4337894,"You, Me and the Apocalypse",2015,43,"Comedy,Drama,Sci-Fi",7.6,8404,https://www.imdb.com/title/tt4337894/
tt8236556,Memories of the Alhambra,2018,60,"Drama,Romance,Sci-Fi",7.7,8381,https://www.imdb.com/title/tt8236556/
tt31314791,The Copenhagen Test,2025,\N,"Action,Fantasy,Sci-Fi",7.1,8312,https://www.imdb.com/title/tt31314791/
tt1043714,The Prisoner,2009,45,"Drama,Sci-Fi,Thriller",6.1,8294,https://www.imdb.com/title/tt1043714/
tt7801780,Origin,2018,45,"Horror,Mystery,Sci-Fi",7.0,8259,https://www.imdb.com/title/tt7801780/
tt20242042,Three-Body,2023,45,"Drama,Mystery,Sci-Fi",7.6,8232,https://www.imdb.com/title/tt20242042/
tt0497298,Jekyll,2007,56,"Crime,Horror,Sci-Fi",8.0,8034,https://www.imdb.com/title/tt0497298/
tt0865409,Frisky Dingo,2006,11,"Animation,Comedy,Sci-Fi",8.1,7990,https://www.imdb.com/title/tt0865409/
tt0808491,The Swarm,2023,46,"Drama,Mystery,Sci-Fi",5.9,7964,https://www.imdb.com/title/tt0808491/
tt5083928,Powerless,2016,21,"Comedy,Fantasy,Sci-Fi",6.4,7899,https://www.imdb.com/title/tt5083928/
tt14903834,Class of '09,2023,40,"Crime,Drama,Sci-Fi",6.6,7789,https://www.imdb.com/title/tt14903834/
